index,X0,X1,X2,X3,X4,X5,Y
157,0.0,0.565,5.1,3.94,3.51,0.2,0.83
296,-2.3,0.6,4.34,4.23,2.73,0.175,0.36
143,-5.0,0.565,4.77,3.99,3.15,0.2,0.7
243,-5.0,0.6,4.78,4.24,3.15,0.25,1.85
276,-5.0,0.53,4.78,3.75,3.15,0.375,13.73
146,-5.0,0.565,4.77,3.99,3.15,0.275,2.77
305,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
139,0.0,0.565,4.77,3.99,3.15,0.45,55.44
73,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
10,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
215,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
177,-5.0,0.565,5.1,3.94,3.51,0.35,7.74
294,-2.3,0.6,4.34,4.23,2.73,0.125,0.04
306,-2.3,0.6,4.34,4.23,2.73,0.425,30.48
293,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
225,0.0,0.6,4.78,4.24,3.15,0.15,0.18
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
58,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
217,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
132,0.0,0.565,4.77,3.99,3.15,0.275,2.88
279,-5.0,0.53,4.78,3.75,3.15,0.45,55.87
233,0.0,0.6,4.78,4.24,3.15,0.35,10.36
230,0.0,0.6,4.78,4.24,3.15,0.275,3.35
266,-5.0,0.53,4.78,3.75,3.15,0.125,0.09
154,0.0,0.565,5.1,3.94,3.51,0.125,0.08
226,0.0,0.6,4.78,4.24,3.15,0.175,0.4
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
261,0.0,0.53,4.78,3.75,3.15,0.35,9.45
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
102,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
79,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
25,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
74,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
77,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
65,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
218,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
31,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
211,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
80,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
197,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
82,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
195,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
67,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
255,0.0,0.53,4.78,3.75,3.15,0.2,0.92
204,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
61,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
246,-5.0,0.6,4.78,4.24,3.15,0.325,6.2
198,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
127,0.0,0.565,4.77,3.99,3.15,0.15,0.24
130,0.0,0.565,4.77,3.99,3.15,0.225,1.28
123,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
164,0.0,0.565,5.1,3.94,3.51,0.375,14.24
118,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
252,0.0,0.53,4.78,3.75,3.15,0.125,0.16
180,-5.0,0.565,5.1,3.94,3.51,0.425,33.23
121,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
4,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
114,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
264,0.0,0.53,4.78,3.75,3.15,0.425,41.77
105,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
260,0.0,0.53,4.78,3.75,3.15,0.325,5.45
83,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
115,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
142,-5.0,0.565,4.77,3.99,3.15,0.175,0.4
